meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1285,11291,2026-05-24T20:38:48+00:00,,23,Other,,,,,CAR 1 (NOR) TIME 1:18.118 DELETED - TRACK LIMITS AT TURN 14 LAP 18 16:34:05
1285,11291,2026-05-24T20:38:51+00:00,,23,Other,,,,,CAR 3 (VER) TIME 1:16.180 DELETED - TRACK LIMITS AT TURN 14 LAP 20 16:35:33
1285,11291,2026-05-24T20:38:52+00:00,,23,Other,,,,,CAR 18 (STR) TIME 1:23.042 DELETED - TRACK LIMITS AT TURN 10 LAP 20 16:37:11
1285,11291,2026-05-24T20:38:53+00:00,18.0,23,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:38:52
1285,11291,2026-05-24T20:38:59+00:00,18.0,23,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:38:59
1285,11291,2026-05-24T20:39:04+00:00,1.0,23,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 1 (NOR) TIMED AT 16:39:03
1285,11291,2026-05-24T20:39:43+00:00,18.0,24,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:39:42
1285,11291,2026-05-24T20:39:49+00:00,77.0,24,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:39:49
1285,11291,2026-05-24T20:40:10+00:00,,24,Other,,,,,CAR 44 (HAM) TIME 1:20.199 DELETED - TRACK LIMITS AT TURN 8 LAP 22 16:37:36
1285,11291,2026-05-24T20:40:23+00:00,,24,Other,,,,,FIA STEWARDS: PENALTY SERVED - 5 SECOND TIME PENALTY FOR CAR 27 (HUL) - SPEEDING IN THE PIT LANE
1285,11291,2026-05-24T20:40:28+00:00,81.0,24,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:40:28
1285,11291,2026-05-24T20:40:41+00:00,14.0,25,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:40:41
1285,11291,2026-05-24T20:41:19+00:00,77.0,25,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:41:19
1285,11291,2026-05-24T20:42:11+00:00,77.0,26,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:42:11
1285,11291,2026-05-24T20:42:13+00:00,,26,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CARS 30 (LAW) AND 27 (HUL) WILL BE INVESTIGATED AFTER THE RACE - STARTING PROCEDURE INFRINGEMENT - OUT OF POSITION AT SAFETY CAR LINE
1285,11291,2026-05-24T20:42:32+00:00,77.0,26,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:42:31
1285,11291,2026-05-24T20:43:00+00:00,,26,Other,,,,,TURN 13 INCIDENT INVOLVING CARS 12 (ANT) AND 63 (RUS) NOTED (16:40:28)
1285,11291,2026-05-24T20:43:05+00:00,77.0,26,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:43:04
1285,11291,2026-05-24T20:43:33+00:00,,27,Other,,,,,CAR 12 (ANT) TIME 1:16.465 DELETED - TRACK LIMITS AT TURN 10 LAP 24 16:40:10
1285,11291,2026-05-24T20:44:44+00:00,,28,Other,,,,,CAR 81 (PIA) TIME 1:16.666 DELETED - TRACK LIMITS AT TURN 14 LAP 18 16:34:20
