date,session_key,pressure,humidity,wind_direction,air_temperature,meeting_key,track_temperature,wind_speed,rainfall
2026-05-24T20:57:46.962000+00:00,11291,1023.7,67.9,244,13.1,1285,18.9,1.0,0
2026-05-24T20:58:46.948000+00:00,11291,1023.6,66.7,239,13.5,1285,19.1,0.7,0
2026-05-24T20:59:46.960000+00:00,11291,1023.6,66.7,239,13.3,1285,19.1,0.7,0
2026-05-24T21:00:46.965000+00:00,11291,1023.4,66.2,209,13.6,1285,19.1,2.0,0
2026-05-24T21:01:46.971000+00:00,11291,1023.4,66.1,199,13.6,1285,19.0,1.3,0
2026-05-24T21:02:46.966000+00:00,11291,1023.4,66.1,199,13.1,1285,19.0,1.3,0
2026-05-24T21:03:46.983000+00:00,11291,1023.5,65.6,198,13.5,1285,18.9,2.9,0
2026-05-24T21:04:46.977000+00:00,11291,1023.5,65.6,198,13.2,1285,18.9,2.9,0
2026-05-24T21:05:46.985000+00:00,11291,1023.4,65.6,177,13.7,1285,18.8,2.5,0
2026-05-24T21:06:46.993000+00:00,11291,1023.4,65.6,177,13.2,1285,18.8,2.5,0
2026-05-24T21:07:47.016000+00:00,11291,1023.4,65.6,177,13.2,1285,18.8,2.5,0
2026-05-24T21:08:47.013000+00:00,11291,1023.4,65.6,177,13.2,1285,18.8,2.5,0
2026-05-24T21:09:47.010000+00:00,11291,1023.4,65.6,177,13.2,1285,18.8,2.5,0
2026-05-24T21:10:47.019000+00:00,11291,1023.3,66.5,187,13.6,1285,18.7,3.4,0
2026-05-24T21:11:47.004000+00:00,11291,1023.4,66.9,153,13.5,1285,19.0,2.5,0
2026-05-24T21:12:47.018000+00:00,11291,1023.3,66.4,187,13.7,1285,18.6,4.4,0
2026-05-24T21:13:47.014000+00:00,11291,1023.3,66.4,187,13.2,1285,18.6,4.4,0
2026-05-24T21:14:47.027000+00:00,11291,1023.4,66.3,186,13.5,1285,18.7,1.3,0
2026-05-24T21:15:47.028000+00:00,11291,1023.4,66.4,202,13.6,1285,18.7,2.7,0
2026-05-24T21:16:47.019000+00:00,11291,1023.4,66.4,202,13.2,1285,18.7,2.7,0
2026-05-24T21:17:47.019000+00:00,11291,1023.3,66.7,150,13.5,1285,18.9,0.9,0
2026-05-24T21:18:47.010000+00:00,11291,1023.4,66.3,186,13.7,1285,18.6,2.8,0
2026-05-24T21:19:47.035000+00:00,11291,1023.4,66.3,186,13.2,1285,18.6,2.8,0
2026-05-24T21:20:47.055000+00:00,11291,1023.3,66.8,188,13.6,1285,18.6,3.3,0
2026-05-24T21:21:47.064000+00:00,11291,1023.3,66.8,188,13.3,1285,18.6,3.3,0
2026-05-24T21:22:47.086000+00:00,11291,1023.3,66.8,188,13.3,1285,18.6,3.3,0
2026-05-24T21:23:47.166000+00:00,11291,1023.3,66.8,188,13.4,1285,18.6,3.3,0
2026-05-24T21:24:47.154000+00:00,11291,1023.3,66.8,188,13.2,1285,18.6,3.3,0
2026-05-24T21:25:47.150000+00:00,11291,1023.3,66.8,188,13.5,1285,18.6,3.3,0
2026-05-24T21:26:47.157000+00:00,11291,1023.3,66.8,188,13.2,1285,18.6,3.3,0
2026-05-24T21:27:47.151000+00:00,11291,1023.3,66.8,188,13.2,1285,18.6,3.3,0
2026-05-24T21:28:47.148000+00:00,11291,1023.3,66.8,188,13.4,1285,18.6,3.3,0
2026-05-24T21:29:47.151000+00:00,11291,1023.2,66.3,184,13.4,1285,18.7,2.8,0
2026-05-24T21:30:47.154000+00:00,11291,1023.2,66.3,184,13.2,1285,18.7,2.8,0
2026-05-24T21:31:47.165000+00:00,11291,1023.2,66.4,189,13.6,1285,18.5,2.6,0
2026-05-24T21:32:47.181000+00:00,11291,1023.2,66.4,189,13.6,1285,18.5,2.6,0
2026-05-24T21:33:47.208000+00:00,11291,1023.1,65.4,181,13.5,1285,18.4,4.9,0
2026-05-24T21:34:47.217000+00:00,11291,1023.1,65.8,171,13.7,1285,18.7,1.7,0
2026-05-24T21:35:47.238000+00:00,11291,1023.1,65.8,171,13.1,1285,18.7,1.7,0
2026-05-24T21:36:47.238000+00:00,11291,1023.1,65.8,171,13.2,1285,18.7,1.7,0
2026-05-24T21:37:47.236000+00:00,11291,1023.1,65.8,171,13.2,1285,18.7,1.7,0
2026-05-24T21:38:47.242000+00:00,11291,1023.1,66.0,223,13.5,1285,17.9,3.0,0
2026-05-24T21:39:47.237000+00:00,11291,1023.1,66.0,223,13.2,1285,17.9,3.0,0
2026-05-24T21:40:47.240000+00:00,11291,1023.0,66.3,185,13.4,1285,18.2,3.4,0
2026-05-24T21:41:47.231000+00:00,11291,1023.0,66.3,185,13.3,1285,18.2,3.4,0
2026-05-24T21:42:47.250000+00:00,11291,1023.1,66.8,184,13.4,1285,18.1,2.8,0
2026-05-24T21:43:47.235000+00:00,11291,1023.0,66.9,168,13.5,1285,17.8,5.4,0
2026-05-24T21:44:47.235000+00:00,11291,1023.0,66.9,168,13.4,1285,17.8,5.4,0
2026-05-24T21:45:47.239000+00:00,11291,1023.0,66.9,168,13.3,1285,17.8,5.4,0
2026-05-24T21:46:47.243000+00:00,11291,1023.1,67.8,183,13.4,1285,18.0,3.1,0
