race_analysis_id,driver,team,lap_number,race_phase,compound,stint_number,lap_time_s,normalized_pace_delta_s,field_rank_on_lap,rolling_pace_delta_s,tyre_age,fuel_corrected_delta_s,weather_adjusted_flag,pace_confidence
2024-01-bahrain,GAS,Alpine,19,middle,HARD,2,97.702,0.227,14,0.321,7,0.892,False,0.72
2024-01-bahrain,GAS,Alpine,20,middle,HARD,2,98.036,0.311,16,0.254,8,1.011,False,0.72
2024-01-bahrain,GAS,Alpine,21,middle,HARD,2,98.094,0.533,18,0.357,9,1.268,False,0.72
2024-01-bahrain,GAS,Alpine,22,middle,HARD,2,97.868,0.443,15,0.429,10,1.213,False,0.72
2024-01-bahrain,GAS,Alpine,23,middle,HARD,2,98.104,0.661,17,0.546,11,1.466,False,0.72
2024-01-bahrain,GAS,Alpine,24,middle,HARD,2,98.192,0.852,17,0.652,12,1.692,False,0.72
2024-01-bahrain,GAS,Alpine,25,middle,HARD,2,98.16,0.645,15,0.719,13,1.52,False,0.72
2024-01-bahrain,GAS,Alpine,26,middle,HARD,2,98.379,0.63,19,0.709,14,1.54,False,0.72
2024-01-bahrain,GAS,Alpine,27,middle,HARD,2,98.4,0.773,17,0.683,15,1.718,False,0.72
2024-01-bahrain,GAS,Alpine,28,middle,HARD,2,98.615,1.019,17,0.807,16,1.999,False,0.72
2024-01-bahrain,GAS,Alpine,29,middle,HARD,2,98.55,1.408,16,1.067,17,2.423,False,0.72
2024-01-bahrain,GAS,Alpine,30,middle,HARD,2,98.832,1.664,18,1.364,18,2.714,False,0.72
2024-01-bahrain,GAS,Alpine,31,middle,HARD,2,100.432,3.401,18,2.158,19,4.486,False,0.72
2024-01-bahrain,GAS,Alpine,32,middle,HARD,3,119.77,22.771,20,9.279,1,23.891,False,0.72
2024-01-bahrain,GAS,Alpine,33,middle,HARD,3,96.112,-0.824,3,8.449,2,0.331,False,0.72
2024-01-bahrain,GAS,Alpine,34,middle,HARD,3,96.622,-0.035,10,7.304,3,1.155,False,0.72
2024-01-bahrain,GAS,Alpine,35,middle,HARD,3,96.313,-0.364,7,-0.408,4,0.861,False,0.72
2024-01-bahrain,GAS,Alpine,36,middle,HARD,3,96.45,-0.177,9,-0.192,5,1.083,False,0.72
2024-01-bahrain,GAS,Alpine,37,middle,HARD,3,96.629,0.346,12,-0.065,6,1.641,False,0.72
2024-01-bahrain,GAS,Alpine,38,middle,HARD,3,96.802,0.556,13,0.241,7,1.886,False,0.72
