session_id,segment_id,driver_a,driver_b,entry_speed_delta_kph,terminal_speed_delta_kph,acceleration_delta,drs_active_delta_pct,clipping_proxy_delta,confidence,favorable_driver
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,HAD,-6.5,-0.5,0.05,0.0,0.5334,0.55,HAD
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,HAM,-2.0,2.0,0.0333,0.0,0.8667,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,HUL,-4.5,-6.5,-0.0167,0.0,0.1334,0.55,HUL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,LAW,-1.0,1.5,0.0208,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,LEC,-0.5,6.0,0.0542,0.0,0.8667,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,LIN,-4.0,0.0,0.0333,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,NOR,0.0,3.0,0.025,0.0,0.5334,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,OCO,0.0,4.0,0.0333,0.0,0.8667,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,PER,7.5,11.0,0.0292,0.0,0.6667,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,PIA,-11.5,-3.0,0.0625,0.0,0.5334,0.55,PIA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_15,ALB,RUS,-13.5,-10.0,0.0292,0.0,0.1334,0.55,RUS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,ALO,0.5,-1.5,-0.0167,0.0,0.8,0.55,ALO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_20,ALB,ANT,-4.0,-6.5,-0.0208,0.0,0.1334,0.55,ANT
