session_id,segment_id,driver_a,driver_b,braking_start_delta_m,braking_duration_delta_s,braking_distance_delta_m,late_brake_delta,brake_intensity_delta,confidence,favorable_driver
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,HUL,LIN,-6.601,0.0,-2.578,0.0,0.0065,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,HUL,NOR,-7.919,0.68,33.611,-0.04,0.0929,0.55,NOR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,HUL,OCO,-21.952,0.52,27.6,-0.0708,0.0596,0.55,OCO
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,HUL,PER,,0.92,45.211,0.0,0.1429,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,HUL,PIA,,0.92,45.211,0.0,0.1429,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,HUL,RUS,-5.535,-0.121,-7.717,0.0,-0.0676,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,HUL,SAI,0.811,-0.2,-6.056,0.0,-0.031,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,HUL,STR,-1.11,0.44,22.633,0.0,0.0376,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,HUL,VER,3.735,0.76,37.3,0.0,0.0873,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,LAW,25.101,-0.08,-18.241,0.0681,-0.119,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,LEC,25.875,-0.68,-38.933,0.0737,-0.0952,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,LIN,-16.074,0.04,-10.555,-0.0819,-0.0927,0.55,LIN
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,NOR,11.95,-0.039,-7.0,0.0327,-0.0103,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,OCO,45.417,-0.76,-36.544,0.1476,-0.119,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,PER,30.454,-1.119,-52.649,0.0638,-0.0476,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,PIA,59.249,0.0,-14.377,0.1818,-0.0036,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,RUS,27.271,-0.84,-54.131,0.0893,-0.169,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,SAI,36.646,-0.56,-19.855,0.0889,-0.0973,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,STR,8.492,-0.519,-34.933,0.0247,-0.0735,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,HUL,VER,26.754,-0.04,-8.833,0.0905,-0.0103,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,LAW,,0.0,0.0,0.0,0.0,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,LEC,,0.0,0.0,0.0,0.0,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,LIN,,-1.72,-79.533,0.0,-0.2353,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,NOR,,0.0,0.0,0.0,0.0,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,OCO,,-0.28,-7.544,0.0,-0.0417,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,PER,,-0.96,-53.067,-0.5312,-0.1667,0.55,PER
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,PIA,,0.0,0.0,0.0,0.0,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,RUS,,0.0,0.0,0.0,0.0,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,SAI,,0.0,0.0,0.0,0.0,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,STR,,-0.28,-7.856,0.0,-0.04,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,HUL,VER,,0.0,0.0,0.0,0.0,0.55,HUL
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LAW,LEC,-34.97,0.56,33.24,-0.1034,0.0735,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LAW,LIN,35.679,-0.721,-48.106,0.1319,-0.1705,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LAW,NOR,-20.88,0.68,28.495,0.014,0.0101,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LAW,OCO,48.717,-1.441,-89.803,0.1794,-0.2728,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LAW,PER,-2.868,-0.321,-17.289,0.0531,-0.0955,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LAW,PIA,31.654,0.159,5.485,0.1335,-0.0455,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LAW,RUS,-9.169,-0.24,-14.783,0.0158,-0.0955,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LAW,SAI,52.05,-2.041,-112.526,0.1794,-0.4091,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LAW,STR,27.91,-0.362,-23.005,0.1794,0.0427,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LAW,VER,22.151,0.279,2.297,0.0844,0.1212,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LAW,LEC,137.01,-0.8,-42.644,0.4745,-0.0942,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LAW,LIN,234.217,-0.4,-21.389,0.8156,0.0303,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LAW,NOR,,0.64,34.3,0.8711,0.1667,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LAW,OCO,-6.538,0.241,13.463,-0.0478,0.1111,0.55,OCO
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LAW,PER,8.958,-0.16,-8.211,0.0161,-0.0151,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LAW,PIA,229.842,-1.921,-102.255,0.8019,-0.2333,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LAW,RUS,-3.583,-0.08,-3.811,-0.046,0.0303,0.55,RUS
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LAW,SAI,-14.882,-0.16,-6.311,-0.0657,0.0758,0.55,SAI
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LAW,STR,,0.64,34.3,0.8711,0.1667,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LAW,VER,,0.64,34.3,0.8711,0.1667,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LAW,LEC,,-0.24,-12.067,0.0,-0.0556,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LAW,LIN,,-0.48,-23.733,0.0,-0.0476,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LAW,NOR,,0.0,0.0,0.0,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LAW,OCO,,-1.401,-63.025,0.0,-0.25,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LAW,PER,,0.0,0.0,0.0,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LAW,PIA,,0.0,0.0,0.0,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LAW,RUS,,-0.4,-19.0,-0.0798,-0.0625,0.55,RUS
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LAW,SAI,,-0.4,-19.778,0.0,-0.08,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LAW,STR,,-0.44,-24.089,-0.6236,-0.087,0.55,STR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LAW,VER,,0.0,0.0,0.0,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LAW,LEC,0.407,0.401,17.949,0.0,0.0758,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LAW,LIN,-0.106,-0.199,-4.784,0.0,0.0238,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LAW,NOR,,0.921,40.949,0.0,0.1667,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LAW,OCO,-3.96,0.721,33.005,0.0,0.1212,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LAW,PER,-1.943,0.761,34.816,0.0,0.1167,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LAW,PIA,,0.921,40.949,0.0,0.1667,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LAW,RUS,-7.737,0.281,14.138,0.0,0.0238,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LAW,SAI,-2.714,0.161,10.405,0.0,0.0363,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LAW,STR,-3.166,0.761,34.727,0.0,0.1079,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LAW,VER,-0.551,0.481,23.96,0.0,0.0834,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LAW,LEC,5.559,-1.001,-37.847,-0.0029,-0.1068,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LAW,LIN,9.587,-0.56,-55.667,-0.0232,-0.138,0.55,LIN
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LAW,NOR,8.229,-0.481,-16.432,-0.0168,-0.0345,0.55,NOR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LAW,OCO,23.015,-0.68,-29.022,0.0686,-0.0123,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LAW,PER,41.58,-0.52,-24.322,0.1179,-0.0614,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LAW,PIA,58.76,-0.96,-37.069,0.1576,-0.0481,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LAW,RUS,0.422,-0.881,-22.765,-0.0541,-0.1068,0.55,RUS
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LAW,SAI,13.284,-0.801,-17.581,0.0145,-0.0345,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LAW,STR,38.507,-1.08,-47.086,0.1035,-0.0996,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LAW,VER,8.807,0.159,0.433,0.0017,0.0115,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LAW,LEC,-5.584,-0.239,-11.086,0.0,-0.1167,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LAW,LIN,-11.322,-0.28,-16.633,0.0,-0.0531,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LAW,NOR,-12.64,0.4,19.556,-0.04,0.0333,0.55,NOR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LAW,OCO,-26.673,0.24,13.545,-0.0708,0.0,0.55,OCO
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LAW,PER,,0.64,31.156,0.0,0.0833,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LAW,PIA,,0.64,31.156,0.0,0.0833,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LAW,RUS,-10.256,-0.401,-21.772,0.0,-0.1272,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LAW,SAI,-3.91,-0.48,-20.111,0.0,-0.0906,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LAW,STR,-5.831,0.16,8.578,0.0,-0.022,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LAW,VER,-0.986,0.48,23.245,0.0,0.0277,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LAW,LEC,0.774,-0.6,-20.692,0.0056,0.0238,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LAW,LIN,-41.175,0.12,7.686,-0.15,0.0263,0.55,LIN
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LAW,NOR,-13.151,0.041,11.241,-0.0354,0.1087,0.55,NOR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LAW,OCO,20.316,-0.68,-18.303,0.0795,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LAW,PER,5.353,-1.039,-34.408,-0.0043,0.0714,0.55,PER
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LAW,PIA,34.148,0.08,3.864,0.1137,0.1154,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LAW,RUS,2.17,-0.76,-35.89,0.0212,-0.05,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LAW,SAI,11.545,-0.48,-1.614,0.0208,0.0217,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LAW,STR,-16.609,-0.439,-16.692,-0.0434,0.0455,0.55,STR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LAW,VER,1.653,0.04,9.408,0.0224,0.1087,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LAW,LEC,,0.0,0.0,0.0,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LAW,LIN,,-1.72,-79.533,0.0,-0.2353,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LAW,NOR,,0.0,0.0,0.0,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LAW,OCO,,-0.28,-7.544,0.0,-0.0417,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LAW,PER,,-0.96,-53.067,-0.5312,-0.1667,0.55,PER
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LAW,PIA,,0.0,0.0,0.0,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LAW,RUS,,0.0,0.0,0.0,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LAW,SAI,,0.0,0.0,0.0,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LAW,STR,,-0.28,-7.856,0.0,-0.04,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LAW,VER,,0.0,0.0,0.0,0.0,0.55,LAW
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LEC,LIN,70.649,-1.281,-81.346,0.2353,-0.244,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LEC,NOR,14.09,0.12,-4.745,0.1174,-0.0634,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LEC,OCO,83.687,-2.001,-123.043,0.2828,-0.3463,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LEC,PER,32.102,-0.881,-50.529,0.1565,-0.169,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LEC,PIA,66.624,-0.401,-27.755,0.2369,-0.119,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LEC,RUS,25.801,-0.8,-48.023,0.1192,-0.169,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LEC,SAI,87.02,-2.601,-145.766,0.2828,-0.4826,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LEC,STR,62.88,-0.922,-56.245,0.2828,-0.0308,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LEC,VER,57.121,-0.281,-30.943,0.1878,0.0477,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LEC,LIN,97.207,0.4,21.255,0.3411,0.1245,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LEC,NOR,,1.44,76.944,0.3966,0.2609,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LEC,OCO,-143.548,1.041,56.107,-0.5223,0.2053,0.55,OCO
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LEC,PER,-128.052,0.64,34.433,-0.4584,0.0791,0.55,PER
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LEC,PIA,92.832,-1.121,-59.611,0.3274,-0.1391,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LEC,RUS,-140.593,0.72,38.833,-0.5205,0.1245,0.55,RUS
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LEC,SAI,-151.892,0.64,36.333,-0.5402,0.17,0.55,SAI
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LEC,STR,,1.44,76.944,0.3966,0.2609,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LEC,VER,,1.44,76.944,0.3966,0.2609,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LEC,LIN,-10.349,-0.24,-11.666,0.0,0.008,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LEC,NOR,,0.24,12.067,0.0,0.0556,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LEC,OCO,1.615,-1.161,-50.958,0.0,-0.1944,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LEC,PER,,0.24,12.067,0.0,0.0556,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LEC,PIA,,0.24,12.067,0.0,0.0556,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LEC,RUS,-14.743,-0.16,-6.933,-0.0798,-0.0069,0.55,RUS
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LEC,SAI,9.941,-0.16,-7.711,0.0,-0.0244,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LEC,STR,-168.322,-0.2,-12.022,-0.6236,-0.0314,0.55,STR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_06,LEC,VER,,0.24,12.067,0.0,0.0556,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LEC,LIN,-0.513,-0.6,-22.733,0.0,-0.052,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LEC,NOR,,0.52,23.0,0.0,0.0909,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LEC,OCO,-4.367,0.32,15.056,0.0,0.0454,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LEC,PER,-2.35,0.36,16.867,0.0,0.0409,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LEC,PIA,,0.52,23.0,0.0,0.0909,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LEC,RUS,-8.144,-0.12,-3.811,0.0,-0.052,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LEC,SAI,-3.121,-0.24,-7.544,0.0,-0.0395,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LEC,STR,-3.573,0.36,16.778,0.0,0.0321,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_09,LEC,VER,-0.958,0.08,6.011,0.0,0.0076,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LEC,LIN,4.028,0.441,-17.82,-0.0203,-0.0312,0.55,LIN
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LEC,NOR,2.67,0.52,21.415,-0.0139,0.0723,0.55,NOR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LEC,OCO,17.456,0.321,8.825,0.0715,0.0945,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LEC,PER,36.021,0.481,13.525,0.1208,0.0454,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LEC,PIA,53.201,0.041,0.778,0.1605,0.0587,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LEC,RUS,-5.137,0.12,15.082,-0.0512,0.0,0.55,RUS
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LEC,SAI,7.725,0.2,20.266,0.0174,0.0723,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LEC,STR,32.948,-0.079,-9.239,0.1064,0.0072,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_10,LEC,VER,3.248,1.16,38.28,0.0046,0.1183,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LEC,LIN,-5.738,-0.041,-5.547,0.0,0.0636,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LEC,NOR,-7.056,0.639,30.642,-0.04,0.15,0.55,NOR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LEC,OCO,-21.089,0.479,24.631,-0.0708,0.1167,0.55,OCO
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LEC,PER,,0.879,42.242,0.0,0.2,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LEC,PIA,,0.879,42.242,0.0,0.2,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LEC,RUS,-4.672,-0.162,-10.686,0.0,-0.0105,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LEC,SAI,1.674,-0.241,-9.025,0.0,0.0261,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LEC,STR,-0.247,0.399,19.664,0.0,0.0947,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_14,LEC,VER,4.598,0.719,34.331,0.0,0.1444,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LEC,LIN,-41.949,0.72,28.378,-0.1556,0.0025,0.55,LIN
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LEC,NOR,-13.925,0.641,31.933,-0.041,0.0849,0.55,NOR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LEC,OCO,19.542,-0.08,2.389,0.0739,-0.0238,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LEC,PER,4.579,-0.439,-13.716,-0.0099,0.0476,0.55,PER
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LEC,PIA,33.374,0.68,24.556,0.1081,0.0916,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LEC,RUS,1.396,-0.16,-15.198,0.0156,-0.0738,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LEC,SAI,10.771,0.12,19.078,0.0152,-0.0021,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LEC,STR,-17.383,0.161,4.0,-0.049,0.0217,0.55,STR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_18,LEC,VER,0.879,0.64,30.1,0.0168,0.0849,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LEC,LIN,,-1.72,-79.533,0.0,-0.2353,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LEC,NOR,,0.0,0.0,0.0,0.0,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LEC,OCO,,-0.28,-7.544,0.0,-0.0417,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LEC,PER,,-0.96,-53.067,-0.5312,-0.1667,0.55,PER
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LEC,PIA,,0.0,0.0,0.0,0.0,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LEC,RUS,,0.0,0.0,0.0,0.0,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LEC,SAI,,0.0,0.0,0.0,0.0,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LEC,STR,,-0.28,-7.856,0.0,-0.04,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_19,LEC,VER,,0.0,0.0,0.0,0.0,0.55,LEC
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LIN,NOR,-56.559,1.401,76.601,-0.1179,0.1806,0.55,NOR
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LIN,OCO,13.038,-0.72,-41.697,0.0475,-0.1023,0.55,LIN
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LIN,PER,-38.547,0.4,30.817,-0.0788,0.075,0.55,PER
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LIN,PIA,-4.025,0.88,53.591,0.0016,0.125,0.55,LIN
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LIN,RUS,-44.848,0.481,33.323,-0.1161,0.075,0.55,RUS
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LIN,SAI,16.371,-1.32,-64.42,0.0475,-0.2386,0.55,LIN
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LIN,STR,-7.769,0.359,25.101,0.0475,0.2132,0.55,LIN
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_03,LIN,VER,-13.528,1.0,50.403,-0.0475,0.2917,0.55,VER
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LIN,NOR,,1.04,55.689,0.0555,0.1364,0.55,LIN
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LIN,OCO,-240.755,0.641,34.852,-0.8634,0.0808,0.55,OCO
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LIN,PER,-225.259,0.24,13.178,-0.7995,-0.0454,0.55,PER
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LIN,PIA,-4.375,-1.521,-80.866,-0.0137,-0.2636,0.55,PIA
2026_03_R_Japanese Grand Prix,japanese-grand-prix_corner_05,LIN,RUS,-237.8,0.32,17.578,-0.8616,0.0,0.55,RUS
