session_id,segment_id,driver_a,driver_b,throttle_pickup_delta_m,full_throttle_exit_delta_m,traction_exit_delta,confidence,favorable_driver
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,PER,STR,22.188,,-0.0564,0.55,STR
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,PER,VER,140.949,,0.0211,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,PER,PIA,1.52,,0.0411,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,PER,RUS,1.32,,-0.0467,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,PER,SAI,4.014,,-0.1283,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,PER,STR,2.451,,0.0103,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,PER,VER,-4.596,,-0.0731,0.55,VER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,PER,PIA,1.505,8.88,0.01,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,PER,RUS,-9.535,10.853,0.0,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,PER,SAI,-12.825,-10.221,0.0,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,PER,STR,11.531,29.186,0.0,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,PER,VER,-23.728,5.183,0.0,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,PER,PIA,7.679,7.679,-0.0173,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,PER,RUS,-5.376,-5.376,0.015,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,PER,SAI,7.464,7.464,0.0039,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,PER,STR,7.736,7.736,0.0337,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,PER,VER,-13.527,-13.527,0.0303,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,PER,PIA,-4.063,15.725,0.01,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,PER,RUS,-1.861,10.172,0.0,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,PER,SAI,1.715,-10.837,0.0,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,PER,STR,-13.985,-74.774,0.3279,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,PER,VER,-8.986,0.059,0.0,0.55,PER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_02,PIA,RUS,-1.153,19.827,-0.0311,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_02,PIA,SAI,-14.051,-13.437,0.0291,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_02,PIA,STR,3.183,1.072,0.1762,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_02,PIA,VER,-10.568,-7.468,0.0834,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_06,PIA,RUS,-17.971,-17.971,0.0042,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_06,PIA,SAI,2.242,2.242,0.0042,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_06,PIA,STR,-15.676,-15.676,0.0042,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_06,PIA,VER,0.017,0.017,0.0042,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_07,PIA,RUS,-4.887,-6.598,-0.01,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_07,PIA,SAI,-8.085,-12.705,-0.01,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_07,PIA,STR,-10.82,6.858,-0.01,0.55,STR
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_07,PIA,VER,-7.981,-3.692,-0.01,0.55,VER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,PIA,RUS,130.755,,0.0218,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,PIA,SAI,-5.061,,0.0632,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,PIA,STR,13.042,,0.0118,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,PIA,VER,131.803,,0.0893,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,PIA,RUS,-0.2,,-0.0878,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,PIA,SAI,2.494,,-0.1694,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,PIA,STR,0.931,,-0.0308,0.55,STR
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,PIA,VER,-6.116,,-0.1142,0.55,VER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,PIA,RUS,-11.04,1.973,-0.01,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,PIA,SAI,-14.33,-19.101,-0.01,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,PIA,STR,10.026,20.306,-0.01,0.55,STR
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,PIA,VER,-25.233,-3.697,-0.01,0.55,VER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,PIA,RUS,-13.055,-13.055,0.0323,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,PIA,SAI,-0.215,-0.215,0.0212,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,PIA,STR,0.057,0.057,0.051,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,PIA,VER,-21.206,-21.206,0.0476,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,PIA,RUS,2.202,-5.553,-0.01,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,PIA,SAI,5.778,-26.562,-0.01,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,PIA,STR,-9.922,-90.499,0.3179,0.55,PIA
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,PIA,VER,-4.923,-15.666,-0.01,0.55,VER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_02,RUS,SAI,-12.898,-33.264,0.0602,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_02,RUS,STR,4.336,-18.755,0.2073,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_02,RUS,VER,-9.415,-27.295,0.1145,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_06,RUS,SAI,20.213,20.213,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_06,RUS,STR,2.295,2.295,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_06,RUS,VER,17.988,17.988,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_07,RUS,SAI,-3.198,-6.107,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_07,RUS,STR,-5.933,13.456,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_07,RUS,VER,-3.094,2.906,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,RUS,SAI,-135.816,,0.0414,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,RUS,STR,-117.713,,-0.01,0.55,STR
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,RUS,VER,1.048,1.048,0.0675,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,RUS,SAI,2.694,-20.806,-0.0816,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,RUS,STR,1.131,11.991,0.057,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,RUS,VER,-5.916,-2.482,-0.0264,0.55,VER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,RUS,SAI,-3.29,-21.074,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,RUS,STR,21.066,18.333,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,RUS,VER,-14.193,-5.67,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,RUS,SAI,12.84,12.84,-0.0111,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,RUS,STR,13.112,13.112,0.0187,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,RUS,VER,-8.151,-8.151,0.0153,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,RUS,SAI,3.576,-21.009,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,RUS,STR,-12.124,-84.946,0.3279,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,RUS,VER,-7.125,-10.113,0.0,0.55,RUS
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_02,SAI,STR,17.234,14.509,0.1471,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_02,SAI,VER,3.483,5.969,0.0543,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_06,SAI,STR,-17.918,-17.918,0.0,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_06,SAI,VER,-2.225,-2.225,0.0,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_07,SAI,STR,-2.735,19.563,0.0,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_07,SAI,VER,0.104,9.013,0.0,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,SAI,STR,18.103,,-0.0514,0.55,STR
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,SAI,VER,136.864,,0.0261,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,SAI,STR,-1.563,32.797,0.1386,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,SAI,VER,-8.61,18.324,0.0552,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,SAI,STR,24.356,39.407,0.0,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,SAI,VER,-10.903,15.404,0.0,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,SAI,STR,0.272,0.272,0.0298,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,SAI,VER,-20.991,-20.991,0.0264,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,SAI,STR,-15.7,-63.937,0.3279,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,SAI,VER,-10.701,10.896,0.0,0.55,SAI
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_02,STR,VER,-13.751,-8.54,-0.0928,0.55,VER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_06,STR,VER,15.693,15.693,0.0,0.55,STR
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_07,STR,VER,2.839,-10.55,0.0,0.55,STR
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_12,STR,VER,118.761,,0.0775,0.55,STR
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_13,STR,VER,-7.047,-14.473,-0.0834,0.55,VER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_14,STR,VER,-35.259,-24.003,0.0,0.55,STR
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_18,STR,VER,-21.263,-21.263,-0.0034,0.55,VER
2026_04_SQ_Miami Grand Prix,miami-grand-prix_corner_19,STR,VER,4.999,74.833,-0.3279,0.55,VER
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,ALO,10.478,13.659,-0.062,0.55,ALO
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,ANT,1.318,23.763,-0.054,0.55,ANT
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,BEA,81.982,9.538,-0.024,0.55,BEA
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,BOR,12.696,,-0.026,0.55,BOR
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,BOT,14.005,12.813,0.018,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,COL,13.899,20.68,0.038,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,GAS,12.691,25.538,-0.032,0.55,GAS
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,HAD,8.382,21.352,-0.022,0.55,HAD
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,HAM,73.114,13.304,-0.0545,0.55,HAM
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,HUL,14.728,15.024,-0.062,0.55,HUL
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,LAW,17.208,24.792,-0.032,0.55,LAW
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,LEC,77.304,16.14,-0.0195,0.55,LEC
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,LIN,83.338,35.441,-0.062,0.55,LIN
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,NOR,-2.82,11.468,-0.052,0.55,NOR
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,OCO,18.582,9.254,-0.0045,0.55,OCO
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,PER,79.792,19.172,-0.018,0.55,PER
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,PIA,-0.809,21.816,-0.006,0.55,PIA
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,RUS,-0.831,28.475,-0.062,0.55,RUS
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,SAI,1.949,20.556,-0.037,0.55,SAI
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,STR,16.036,18.55,-0.018,0.55,STR
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_02,ALB,VER,1.021,13.168,-0.0145,0.55,VER
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,ALO,-8.089,-8.767,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,ANT,6.613,18.803,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,BEA,12.117,14.755,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,BOR,4.763,14.704,0.02,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,BOT,7.225,17.805,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,COL,7.384,20.907,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,GAS,-6.648,-5.264,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,HAD,-4.023,4.765,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,HAM,9.563,5.89,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,HUL,19.743,9.188,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,LAW,8.534,22.254,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,LEC,9.945,-2.867,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,LIN,7.743,-1.3,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,NOR,-21.715,-2.67,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,OCO,4.222,12.1,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,PER,3.998,27.543,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,PIA,-11.013,1.654,0.01,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,RUS,-15.431,14.18,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,SAI,-12.278,-6.155,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,STR,14.741,24.197,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_04,ALB,VER,-9.923,10.741,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,ALO,5.491,5.491,0.0656,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,ANT,-18.896,-18.896,-0.0326,0.55,ANT
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,BEA,-2.564,-2.564,0.0388,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,BOR,3.268,,0.0405,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,BOT,-8.128,-8.128,0.0929,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,COL,3.776,3.776,0.0882,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,GAS,12.973,12.973,0.0017,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,HAD,5.821,5.821,0.1131,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,HAM,-133.373,,-0.1168,0.55,HAM
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,HUL,12.203,12.203,0.0825,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,LAW,-5.793,-5.793,0.0138,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,LEC,1.376,1.376,-0.0107,0.55,LEC
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,LIN,9.427,9.427,0.0024,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,NOR,-3.057,-3.057,0.109,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,OCO,4.214,4.214,-0.0196,0.55,OCO
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,PER,14.511,14.511,0.0708,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,PIA,8.059,8.059,0.0793,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,RUS,15.437,15.437,0.0096,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,SAI,9.4,9.4,0.0196,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,STR,0.095,0.095,0.0274,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_06,ALB,VER,-2.902,-2.902,0.0411,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,ALO,0.946,51.578,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,ANT,-10.445,34.909,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,BEA,-0.242,30.168,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,BOR,-3.493,40.639,0.01,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,BOT,1.108,38.586,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,COL,4.361,38.416,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,GAS,-6.787,32.113,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,HAD,0.57,29.047,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,HAM,-3.124,42.786,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,HUL,-0.802,44.886,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,LAW,-0.679,32.436,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,LEC,1.026,33.103,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,LIN,-7.84,56.648,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,NOR,3.536,47.002,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,OCO,-3.933,18.728,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,PER,-2.293,36.55,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,PIA,2.359,18.513,0.01,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,RUS,-3.664,36.713,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,SAI,-2.755,32.066,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,STR,3.557,39.345,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_07,ALB,VER,-2.622,42.477,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,ALO,-13.366,-2.517,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,ANT,-8.186,2.215,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,BEA,0.989,-13.247,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,BOR,-1.811,-6.262,0.01,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,BOT,14.989,20.816,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,COL,5.882,6.882,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,GAS,3.574,-17.433,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,HAD,-1.647,6.474,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,HAM,3.611,11.927,0.0033,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,HUL,-4.274,-12.229,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,LAW,12.676,10.392,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,LEC,6.821,-14.665,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,LIN,14.939,24.658,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,NOR,0.903,-7.625,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,OCO,5.431,-17.877,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,PER,13.493,12.325,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,PIA,-11.023,-3.035,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,RUS,-12.091,3.569,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,SAI,0.649,9.054,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,STR,5.421,6.27,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_10,ALB,VER,-6.693,10.356,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,ALO,-2.427,-10.273,0.0402,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,ANT,7.302,29.782,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,BEA,1.854,4.554,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,BOR,9.155,-5.799,0.02,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,BOT,24.324,47.58,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,COL,13.504,22.649,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,GAS,13.046,27.215,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,HAD,3.119,20.309,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,HAM,15.101,17.38,0.002,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,HUL,-1.096,-0.328,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,LAW,8.633,26.867,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,LEC,3.571,21.103,0.002,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,LIN,5.068,23.169,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,NOR,-3.51,11.969,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,OCO,6.634,12.602,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,PER,19.963,28.742,0.0,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,PIA,10.335,16.003,0.01,0.55,ALB
2026_05_Q_Canadian Grand Prix,canadian-grand-prix_corner_13,ALB,RUS,4.45,23.662,0.0,0.55,ALB
