season,round,event,session,corner_id,driver,reference_driver,apex_speed_delta_kph,entry_speed_delta_kph,exit_speed_delta_kph,comparison_scope
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,STR,SAI,10.0,7.0,13.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,GAS,SAI,13.0,5.667,9.167,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,LEC,SAI,13.0,8.0,5.167,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,COL,SAI,13.0,8.0,1.833,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,LIN,SAI,13.0,7.0,6.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,LAW,SAI,16.0,12.0,7.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,VER,SAI,16.0,3.667,5.833,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,BOR,SAI,18.0,11.0,8.167,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,ALO,SAI,19.0,14.5,15.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,HAD,SAI,20.0,12.667,12.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,PER,SAI,20.0,11.0,10.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,OCO,SAI,26.0,20.667,13.167,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,BOT,SAI,29.0,26.0,38.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_06,HAM,SAI,33.0,19.0,7.5,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,ANT,ANT,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,BOR,ANT,2.0,17.5,-1.0,session_best
2026,1,Australian Grand Prix,R,australian-grand-prix_corner_13,NOR,ANT,2.0,10.333,0.667,session_best
