season,round,event,session,driver,lap_number,compound,stint,segment_id,entry_speed_kph,terminal_speed_kph,acceleration_score,drs_active_pct,clipping_proxy_score,segmentation_confidence
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_straight_10,313.0,325.5,0.1042,0.0,0.4667,0.55
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_straight_11,327.0,322.0,0.0,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_straight_12,319.0,285.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_straight_15,295.0,299.0,0.0333,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,RUS,21,SOFT,,australian-grand-prix_straight_20,275.0,296.5,0.1792,0.0,0.6,0.55
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_straight_01,289.5,280.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_straight_09,273.0,296.5,0.1958,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_straight_10,302.0,311.5,0.0792,0.0,0.7333,0.55
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_straight_11,311.0,306.5,0.0,0.0,0.7333,0.55
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_straight_12,305.0,299.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_straight_15,276.0,288.5,0.1042,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_straight_20,271.0,296.5,0.2125,0.0,0.3333,0.55
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_straight_01,292.0,281.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_straight_09,266.0,291.0,0.2083,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_straight_10,295.5,307.0,0.0958,0.0,0.7333,0.55
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_straight_11,308.0,302.0,0.0,0.0,0.7333,0.55
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_straight_12,299.667,270.667,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_straight_15,268.333,268.333,0.0,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_straight_20,266.5,284.5,0.15,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,ANT,57,HARD,,australian-grand-prix_straight_01,296.0,300.0,0.0333,0.0,0.3333,0.55
2026,1,Australian Grand Prix,R,ANT,57,HARD,,australian-grand-prix_straight_09,280.0,301.5,0.1792,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,ANT,57,HARD,,australian-grand-prix_straight_10,308.0,318.0,0.0833,0.0,0.7333,0.55
2026,1,Australian Grand Prix,R,ANT,57,HARD,,australian-grand-prix_straight_11,319.0,311.5,0.0,0.0,0.4667,0.55
2026,1,Australian Grand Prix,R,ANT,57,HARD,,australian-grand-prix_straight_12,310.5,304.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,ANT,57,HARD,,australian-grand-prix_straight_15,285.5,284.0,0.0,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,ANT,57,HARD,,australian-grand-prix_straight_20,270.5,292.5,0.1833,0.0,0.0667,0.55
2026,1,Australian Grand Prix,R,BEA,22,HARD,,australian-grand-prix_straight_01,302.5,288.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BEA,22,HARD,,australian-grand-prix_straight_09,278.5,304.5,0.2167,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BEA,22,HARD,,australian-grand-prix_straight_10,309.5,323.5,0.1167,0.0,0.6,0.55
2026,1,Australian Grand Prix,R,BEA,22,HARD,,australian-grand-prix_straight_11,325.5,320.5,0.0,0.0,0.3333,0.55
2026,1,Australian Grand Prix,R,BEA,22,HARD,,australian-grand-prix_straight_12,317.0,302.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BEA,22,HARD,,australian-grand-prix_straight_15,280.0,277.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BEA,22,HARD,,australian-grand-prix_straight_20,276.0,301.0,0.2083,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BOR,45,HARD,,australian-grand-prix_straight_01,298.5,287.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BOR,45,HARD,,australian-grand-prix_straight_09,275.5,303.0,0.2292,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,BOR,45,HARD,,australian-grand-prix_straight_10,307.5,319.0,0.0958,0.0,0.8667,0.55
2026,1,Australian Grand Prix,R,BOR,45,HARD,,australian-grand-prix_straight_11,319.0,311.5,0.0,0.0,0.4667,0.55
2026,1,Australian Grand Prix,R,BOR,45,HARD,,australian-grand-prix_straight_12,308.0,290.0,0.0,0.0,0.0667,0.55
2026,1,Australian Grand Prix,R,BOR,45,HARD,,australian-grand-prix_straight_15,282.5,284.5,0.0167,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BOR,45,HARD,,australian-grand-prix_straight_20,274.0,295.0,0.175,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BOT,8,HARD,,australian-grand-prix_straight_01,286.0,274.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BOT,8,HARD,,australian-grand-prix_straight_09,267.0,301.5,0.2875,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BOT,8,HARD,,australian-grand-prix_straight_10,304.5,318.5,0.1167,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,BOT,8,HARD,,australian-grand-prix_straight_11,323.0,320.5,0.0,0.0,0.7333,0.55
2026,1,Australian Grand Prix,R,BOT,8,HARD,,australian-grand-prix_straight_12,319.0,295.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,BOT,8,HARD,,australian-grand-prix_straight_15,268.0,262.5,0.0,0.0,0.4667,0.55
2026,1,Australian Grand Prix,R,BOT,8,HARD,,australian-grand-prix_straight_20,271.0,293.5,0.1875,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,COL,48,SOFT,,australian-grand-prix_straight_01,309.0,263.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,COL,48,SOFT,,australian-grand-prix_straight_09,278.5,311.0,0.2708,0.0,0.0,0.55
2026,1,Australian Grand Prix,R,COL,48,SOFT,,australian-grand-prix_straight_10,319.0,338.0,0.1583,0.0,0.4667,0.55
2026,1,Australian Grand Prix,R,COL,48,SOFT,,australian-grand-prix_straight_11,339.5,335.5,0.0,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,COL,48,SOFT,,australian-grand-prix_straight_12,330.5,316.5,0.0,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,COL,48,SOFT,,australian-grand-prix_straight_15,278.5,272.5,0.0,0.0,0.2,0.55
2026,1,Australian Grand Prix,R,COL,48,SOFT,,australian-grand-prix_straight_20,268.5,292.0,0.1958,0.0,0.3333,0.55
2026,1,Australian Grand Prix,R,GAS,56,HARD,,australian-grand-prix_straight_01,299.5,296.5,0.0,0.0,0.0,0.55
