season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,throttle_pickup_distance_m,throttle_pickup_time_s,full_throttle_exit_distance_m,traction_exit_score
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4721.743,72.891,4800.633,1.0
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,359.362,4.896,411.34,0.8237
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1092.226,16.617,1165.925,0.98
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1316.119,21.577,1316.119,1.0
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3155.328,45.456,3155.328,0.5839
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3932.108,55.977,3932.108,0.5589
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4196.083,61.377,4196.083,0.97
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4458.096,65.696,4458.096,0.4875
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4717.546,71.977,4805.699,1.0
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,360.13,5.0,444.508,0.9675
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1091.448,16.679,1154.203,0.896
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1328.921,21.959,1328.921,1.0
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3160.857,45.52,3160.857,0.61
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4112.399,59.32,4162.31,0.6219
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4199.754,61.36,4199.754,1.0
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4474.236,65.92,4474.236,0.5539
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4718.381,71.88,4816.481,1.0
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,347.398,4.88,424.477,0.9365
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1092.384,17.12,1254.076,1.0
