season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,braking_start_distance_m,braking_duration_s,braking_distance_m,min_speed_during_brake_kph,brake_intensity_proxy,late_brake_score
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1057.571,1.04,31.933,96.0,0.1923,0.0
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3204.601,0.44,34.333,276.0,0.125,0.2274
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4003.336,1.799,92.598,128.0,0.35,0.2536
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4285.344,0.48,31.278,234.0,0.1429,0.357
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4519.056,2.04,84.789,107.0,0.3043,0.2247
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,266.206,1.439,83.935,179.0,0.25,0.0
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1058.91,0.92,34.856,113.0,0.1304,0.0
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3224.453,0.441,32.652,264.0,0.1176,0.2979
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4027.279,1.439,69.74,133.0,0.3158,0.3026
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4538.568,1.8,72.433,114.0,0.3333,0.2764
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,266.502,1.48,85.771,176.0,0.3158,0.0
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1056.582,0.4,12.556,113.0,0.0714,0.0
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3206.081,0.76,55.078,250.0,0.2143,0.2027
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3988.477,1.999,100.063,127.0,0.4737,0.1927
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4516.578,2.32,97.989,103.0,0.2917,0.2125
