id,session_id,event_entry_id,race_id,driver_id,constructor_id,stint_number,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life,session_code,source_label
2026-02-shanghai|R|arvid_lindblad|2,2026-02-shanghai|R,2026-02-shanghai|arvid_lindblad,2026-02-shanghai,arvid_lindblad,rb,2,MEDIUM,13,98.18438461538462,-0.7361666666666657,0.478021978021978,1.0,13.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|ocon|1,2026-02-shanghai|R,2026-02-shanghai|ocon,2026-02-shanghai,ocon,haas,1,HARD,29,104.95562068965516,0.439035714285714,-0.4458128078817733,1.0,29.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|ocon|2,2026-02-shanghai|R,2026-02-shanghai|ocon,2026-02-shanghai,ocon,haas,2,MEDIUM,17,100.27029411764704,-0.2930625000000004,0.125,1.0,17.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|ocon|3,2026-02-shanghai|R,2026-02-shanghai|ocon,2026-02-shanghai,ocon,haas,3,SOFT,9,101.50611111111112,-1.272499999999999,-0.5666666666666667,1.0,9.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|perez|1,2026-02-shanghai|R,2026-02-shanghai|perez,2026-02-shanghai,perez,cadillac,1,MEDIUM,11,107.63509090909092,1.0715000000000003,0.3363636363636363,1.0,11.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|perez|2,2026-02-shanghai|R,2026-02-shanghai|perez,2026-02-shanghai,perez,cadillac,2,HARD,44,101.9605,-0.2588372093023258,-0.4090204369274137,1.0,44.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|russell|1,2026-02-shanghai|R,2026-02-shanghai|russell,2026-02-shanghai,russell,mercedes,1,MEDIUM,10,99.4634,0.6051111111111109,-0.2484848484848484,1.0,10.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|russell|2,2026-02-shanghai|R,2026-02-shanghai|russell,2026-02-shanghai,russell,mercedes,2,HARD,45,98.75033333333334,-0.3539772727272725,-0.7672189470218311,2.0,46.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|sainz|1,2026-02-shanghai|R,2026-02-shanghai|sainz,2026-02-shanghai,sainz,williams,1,MEDIUM,9,101.42166666666668,-0.2966250000000006,-0.1333333333333333,1.0,9.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|sainz|2,2026-02-shanghai|R,2026-02-shanghai|sainz,2026-02-shanghai,sainz,williams,2,HARD,46,102.05402173913043,-0.3931555555555557,-0.7898729508053377,1.0,46.0,R,fastf1_session_stint_v1
2026-02-shanghai|R|stroll|1,2026-02-shanghai|R,2026-02-shanghai|stroll,2026-02-shanghai,stroll,aston_martin,1,HARD,9,102.21433333333334,-1.073500000000001,-0.8499999999999999,1.0,9.0,R,fastf1_session_stint_v1
