session_id,season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,HUL,Audi,2,MEDIUM,20,99.0691,-0.4762631578947371,0.3774436090225563,1,20
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,LAW,Racing Bulls,1,MEDIUM,9,101.03044444444444,0.0118749999999998,0.2333333333333333,1,9
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,LAW,Racing Bulls,2,HARD,47,101.4238510638298,-0.3312391304347825,-0.9813829787234044,1,47
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,LEC,Ferrari,1,MEDIUM,10,99.8919,0.7851111111111114,-0.1878787878787878,1,10
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,LEC,Ferrari,2,HARD,44,98.0378863636364,-0.3218604651162791,-0.6563777307963353,3,46
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,LIN,Racing Bulls,1,HARD,42,103.38185714285711,0.2419756097560966,-0.5469794583315498,1,42
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,LIN,Racing Bulls,2,MEDIUM,13,98.18438461538462,-0.7361666666666657,0.478021978021978,1,13
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,OCO,Haas F1 Team,1,HARD,29,104.95562068965516,0.439035714285714,-0.4458128078817733,1,29
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,OCO,Haas F1 Team,2,MEDIUM,17,100.27029411764704,-0.2930625000000004,0.125,1,17
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,OCO,Haas F1 Team,3,SOFT,9,101.50611111111112,-1.272499999999999,-0.5666666666666667,1,9
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,PER,Cadillac,1,MEDIUM,11,107.63509090909092,1.0715000000000003,0.3363636363636363,1,11
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,PER,Cadillac,2,HARD,44,101.9605,-0.2588372093023258,-0.4090204369274137,1,44
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,RUS,Mercedes,1,MEDIUM,10,99.4634,0.6051111111111109,-0.2484848484848484,1,10
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,RUS,Mercedes,2,HARD,45,98.75033333333334,-0.3539772727272725,-0.7672189470218311,2,46
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,SAI,Williams,1,MEDIUM,9,101.42166666666668,-0.2966250000000006,-0.1333333333333333,1,9
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,SAI,Williams,2,HARD,46,102.05402173913043,-0.3931555555555557,-0.7898729508053377,1,46
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,STR,Aston Martin,1,HARD,9,102.21433333333334,-1.073500000000001,-0.8499999999999999,1,9
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,VER,Red Bull Racing,1,SOFT,9,101.0841111111111,-0.2981249999999988,-0.0666666666666666,4,12
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,VER,Red Bull Racing,2,HARD,35,102.33351428571429,-0.469529411764705,-0.8756302521008403,1,35
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALB,Williams,1,MEDIUM,22,99.03395454545452,0.0567619047619051,-0.5731225296442689,1,22
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALB,Williams,2,HARD,23,105.07204347826084,-0.9154999999999996,-0.7381422924901185,1,23
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALB,Williams,3,SOFT,1,116.651,0.0,0.0,1,1
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALB,Williams,4,SOFT,1,117.5,0.0,0.0,2,2
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALB,Williams,5,SOFT,1,119.619,0.0,0.0,3,3
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALB,Williams,6,SOFT,1,127.219,0.0,0.0,4,4
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALB,Williams,7,MEDIUM,2,106.0385,-10.0,0.0,1,2
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALO,Aston Martin,1,MEDIUM,21,99.8567142857143,0.0568000000000004,-0.1077922077922078,1,21
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALO,Aston Martin,2,HARD,2,128.828,-10.0,0.0,1,2
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ALO,Aston Martin,3,MEDIUM,29,101.90703448275862,-0.5480714285714287,-0.5783251231527092,1,29
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ANT,Mercedes,1,MEDIUM,22,96.01454545454546,0.2459047619047613,-0.3529079616036138,1,22
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,ANT,Mercedes,2,HARD,28,96.79842857142856,-0.3473703703703705,-0.3185550082101806,4,31
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,BEA,Haas F1 Team,1,MEDIUM,16,97.4599375,-0.3746,-0.0809418909344732,1,16
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,BEA,Haas F1 Team,2,HARD,4,101.25275,-3.4833333333333343,-1.0,1,4
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,BOR,Audi,1,MEDIUM,22,98.38045454545454,0.1378571428571426,-0.2846653601230212,1,22
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,BOR,Audi,2,HARD,30,100.9119,-0.7351379310344823,-0.7081201334816463,1,31
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,BOT,Cadillac,1,HARD,19,99.61415789473683,-0.3274444444444447,0.3280701754385964,1,19
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,BOT,Cadillac,2,MEDIUM,32,102.57621875,-0.1275161290322581,-0.6066715542521993,1,33
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,COL,Alpine,1,MEDIUM,17,97.31929411764706,-0.243875,0.0759803921568627,1,17
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,COL,Alpine,2,HARD,35,101.2730857142857,-0.256441176470588,-0.8095238095238096,1,36
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,GAS,Alpine,1,MEDIUM,22,97.11540909090908,0.2859047619047621,-0.0367024280067758,1,22
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,GAS,Alpine,2,HARD,30,100.95676666666668,-0.7072413793103445,-0.3446051167964405,1,31
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,HAD,Red Bull Racing,1,MEDIUM,19,97.07005263157896,-0.1421111111111115,-0.0245614035087719,1,19
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,HAD,Red Bull Racing,2,HARD,33,101.35790909090908,-0.41584375,-0.7118983957219251,1,34
2026_03_R_Japanese Grand Prix,2026,3,Japanese Grand Prix,R,HAM,Ferrari,1,MEDIUM,22,96.42027272727272,0.3154285714285719,-0.5539243365330322,1,22
