session_id,season,round,event_name,session_code,driver,team,regulation_era,session_weight,lap_count,representative_lap_s,best_lap_s,long_run_lap_s,long_run_degradation_s,top_speed_kph,air_temp_c,track_temp_c,humidity_pct,rainfall_flag,wind_speed_mps,wind_direction_deg,gap_to_session_best_s,pace_rank,gap_to_teammate_s
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,GAS,Alpine,regulations_2026_reset,1.25,54,96.618,96.505,97.94635416666668,-0.040531914893617,353.0,15.790740740740738,23.711111111111112,54.11851851851851,False,1.8481481481481483,92.57407407407408,1.2468333333333277,7.0,-0.149249999999995
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,HAD,Red Bull Racing,regulations_2026_reset,1.25,55,97.46033333333332,97.311,98.80180851063832,-0.0155869565217391,344.0,15.798181818181812,23.705454545454543,54.08727272727272,False,1.8927272727272728,94.72727272727272,2.0891666666666566,13.0,0.1715833333333307
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,HAM,Ferrari,regulations_2026_reset,1.25,54,96.14716666666668,96.092,97.195,-0.0326170212765957,328.0,15.796296296296292,23.71851851851852,54.11296296296296,False,2.075925925925926,95.87037037037037,0.7760000000000105,3.0,-0.0148333333333283
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,HUL,Audi,regulations_2026_reset,1.25,54,96.63833333333334,96.18,100.73817391304348,-0.0376222222222221,344.0,15.8,23.72222222222222,54.0574074074074,False,1.9314814814814811,95.88888888888889,1.267166666666668,8.0,0.0
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,LAW,Racing Bulls,regulations_2026_reset,1.25,56,97.2145,97.096,98.37383333333332,-0.0629574468085107,345.0,15.801785714285714,23.755357142857143,54.08749999999999,False,1.8464285714285715,95.01785714285714,1.8433333333333195,12.0,0.514333333333326
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,LEC,Ferrari,regulations_2026_reset,1.25,54,96.17683333333332,96.011,97.28425,-0.039404255319149,336.0,15.79444444444444,23.72037037037037,54.10555555555555,False,2.053703703703704,95.72222222222224,0.8056666666666672,4.0,0.0148333333333283
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,LIN,Racing Bulls,regulations_2026_reset,1.25,55,96.18583333333332,96.099,102.27017021276596,-0.0411086956521737,339.0,15.809090909090903,23.74727272727273,54.03818181818182,False,1.8890909090909087,95.12727272727273,0.8146666666666675,5.0,-0.514333333333326
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,OCO,Haas F1 Team,regulations_2026_reset,1.25,55,96.37516666666666,95.964,102.44851162790695,-0.0610714285714285,333.0,15.80545454545454,23.74727272727273,54.07272727272727,False,1.8690909090909087,95.0,1.003999999999991,6.0,-0.1564166666666722
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,PER,Cadillac,regulations_2026_reset,1.25,55,98.93283333333332,98.523,101.54406382978723,-0.0452173913043477,335.0,15.809090909090903,23.75090909090909,54.06,False,1.8563636363636364,98.05454545454543,3.5616666666666674,15.0,-0.0005833333333384
2026_02_R_Chinese Grand Prix,2026,2,Chinese Grand Prix,R,RUS,Mercedes,regulations_2026_reset,1.25,55,95.505,95.4,96.74491666666668,-0.0438723404255318,345.0,15.801818181818176,23.74909090909091,54.09636363636362,False,2.021818181818182,95.16363636363636,0.1338333333333281,2.0,0.0669166666666569
